Date,Amount,Location,Store,Fraudulent
1990-04-27,44.95,Robertland,"Nichols, Nguyen and Skinner",True
2007-12-27,7.83,North Carrie,Reeves-Huang,False
2004-01-05,531.68,Brittanyview,Hartman-Watkins,False
1981-04-15,105.4,West Brittany,Gibson and Sons,False
2003-09-29,507.93,New Curtisfurt,"Jones, Sweeney and Lewis",True
1980-07-05,122.09,North Connieside,Hernandez PLC,True
1989-04-22,720.27,Emilyview,"Brown, Davenport and Silva",False
2017-05-15,556.7,Port Lisa,"Schneider, Garcia and Moses",True
1976-07-04,867.41,Danielmouth,"Copeland, Nguyen and Smith",True
1974-08-16,471.4,Lawsonside,"Stanley, Wong and Francis",True
2004-03-13,21.83,Stokesside,"Casey, Jacobs and Flynn",False
2017-09-09,838.09,Lake Jenniferfurt,Rivera Ltd,False
1978-06-19,220.49,South Michael,"Brooks, Meadows and Brock",False
1975-03-10,934.53,Greenechester,Spencer-Hunt,False
1974-07-04,984.84,South Dawn,Patrick-Carpenter,True
1992-05-03,53.25,Charlesberg,"Vargas, Tran and Gutierrez",True
1970-08-03,947.45,Henryborough,Johnson PLC,True
1991-08-25,345.96,West Sheila,"Welch, Rivera and Campbell",False
1985-09-23,253.16,Ayersshire,Arellano Ltd,True
2014-11-20,92.97,Edwardport,Weiss LLC,True
1982-04-03,300.35,West Aliciabury,Mathis-Aguirre,True
1980-01-18,61.83,Arnoldhaven,Mason LLC,True
1993-10-28,130.86,Burkeside,"Spears, Lawson and Haynes",False
2003-05-18,328.65,Lake Audrey,"Kaufman, Melendez and Miller",True
2006-06-16,749.62,Brandimouth,"Jones, Glover and Rivas",False
1974-07-16,487.71,Markborough,"Wiley, Richardson and Lane",False
2002-01-07,390.23,Howardberg,Odonnell-Schultz,True
2006-09-14,441.96,North Amandafurt,Bright Group,False
1980-02-07,414.36,Stevenburgh,"Stone, Ramsey and Larsen",False
1975-02-13,673.59,Smithport,"Porter, Campbell and Allen",True
2018-05-28,433.53,New Darren,"Dennis, Williams and Marquez",False
2006-04-10,549.84,Allisonmouth,Simon-Smith,False
1987-10-24,959.79,Myersborough,Richmond Inc,False
